City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Port Alfred,100,ZA,1545272671,100,-33.59,26.89,63.63,2.06
Nikolskoye,90,RU,1545271200,92,59.7,30.79,17.6,4.47
Hilo,90,US,1545270780,90,19.71,-155.08,69.08,9.17
Tromso,0,NO,1545270600,63,69.65,18.96,26.6,21.92
Los Llanos de Aridane,0,ES,1545271200,59,28.66,-17.92,62.6,9.17
Carnarvon,0,ZA,1545272678,57,-30.97,22.13,55.49,12.68
Grindavik,0,IS,1545271200,100,63.84,-22.43,37.4,9.17
Luziania,0,BR,1545271200,68,-16.25,-47.95,68,3.36
New Norfolk,75,AU,1545271200,87,-42.78,147.06,57.2,9.17
Upernavik,80,GL,1545272686,100,72.79,-56.15,17.01,12.68
Jaciara,8,BR,1545272689,78,-15.95,-54.98,73.94,2.73
Villamor,44,PH,1545272691,95,16.5,121.51,74.03,3.85
Chokurdakh,44,RU,1545272692,0,70.62,147.9,-39.06,3.29
Yanji,0,CN,1545272694,60,42.89,129.5,28.04,5.75
Merta,0,IN,1545272695,74,26.65,74.03,45.41,2.73
Kadhan,0,PK,1545272696,69,24.48,68.99,47.03,2.84
Carutapera,76,BR,1545272698,90,-1.2,-46.02,78.48,8.43
Tooele,1,US,1545272100,84,40.53,-112.3,39.02,6.93
Longyearbyen,75,NO,1545270600,86,78.22,15.63,33.8,17.22
Te Anau,36,NZ,1545272551,74,-45.41,167.72,60.3,3.51
Soe,90,EE,1545270600,92,57.91,26.05,21.2,5.82
Butaritari,80,KI,1545272706,100,3.07,172.79,81.68,9.55
Georgetown,40,GY,1545271200,100,6.8,-58.16,78.8,4.7
Inhambane,8,MZ,1545272709,99,-23.87,35.38,77.81,10.45
Cherskiy,12,RU,1545272630,0,68.75,161.3,-42.39,1.39
Humaita,90,AR,1545271200,88,-24.93,-65.37,68,0.94
Digby,0,CA,1545272713,100,44.62,-65.76,31.23,11.23
Paamiut,32,GL,1545272715,86,61.99,-49.67,33.75,11.68
Bandarbeyla,92,SO,1545272716,100,9.49,50.81,75.56,18.05
Tay Ninh,0,VN,1545272719,80,11.3,106.1,84.42,3.18
Isangel,92,VU,1545272720,100,-19.55,169.27,76.46,9.44
Kropotkin,92,RU,1545272722,78,45.43,40.58,36.54,17.72
Sao Joao da Barra,0,BR,1545272723,98,-21.64,-41.05,80.06,14.47
Esperance,20,TT,1545271200,94,10.24,-61.45,77,3.36
Campbell River,90,CA,1545271200,100,50.02,-125.24,46.4,2.62
Kaitangata,0,NZ,1545272727,68,-46.28,169.85,59.85,14.25
Yaan,0,NG,1545272729,48,7.38,8.57,68.36,6.64
Turukhansk,48,RU,1545272730,79,65.8,87.96,-18.36,10.45
Hamilton,20,CA,1545271740,92,43.26,-79.87,37.4,4.7
Clyde River,90,CA,1545271200,77,70.47,-68.59,-0.41,23.04
Kirakira,64,SB,1545272736,100,-10.46,161.92,83.7,6.87
Arraial do Cabo,20,BR,1545267600,88,-22.97,-42.02,75.2,1.95
Lompoc,1,US,1545272100,62,34.64,-120.46,60.08,4.7
Arman,32,RU,1545272743,71,59.7,150.17,16.83,9.33
Skjervoy,0,NO,1545272744,100,70.03,20.97,26.1,9.22
Constantine,0,DZ,1545271200,93,36.36,6.61,39.2,3.36
Tynda,0,RU,1545272747,32,55.15,124.74,-23.27,1.95
Puri,40,ID,1545271200,79,-7.54,112.45,84.2,3.51
Yellowknife,90,CA,1545271200,84,62.45,-114.38,6.8,5.82
Vangaindrano,32,MG,1545272751,90,-23.35,47.6,69.75,2.84
Capoterra,20,IT,1545270600,93,39.18,8.97,55.4,1.12
San Jose,0,PH,1545272736,64,15.79,120.99,82.08,2.62
Poum,20,MK,1545272756,71,41.28,20.71,10.8,1.83
Huari,88,PE,1545272757,92,-9.35,-77.17,41.4,1.72
Dunmore East,36,IE,1545272759,99,52.15,-6.99,46.58,17.83
Hasaki,75,JP,1545271200,46,35.73,140.83,53.6,3.36
Tasiilaq,0,GL,1545270600,74,65.61,-37.64,28.4,1.12
Urusha,0,RU,1545272763,26,54.05,122.9,-18.81,2.73
Mayumba,68,GA,1545272764,100,-3.44,10.65,76.91,6.08
Obala,75,CM,1545267600,94,4.17,11.53,71.6,6.98
Newport,56,GB,1545270600,100,51.59,-3,46.4,11.41
Kenora,90,CA,1545271200,97,49.76,-94.48,32,9.17
Maniitsoq,92,GL,1545272773,92,65.42,-52.9,29.7,5.19
Jamestown,0,AU,1545272643,38,-33.21,138.6,83.7,14.7
Pisco,0,PE,1545271200,88,-13.71,-76.2,69.8,17.22
Vila Franca do Campo,40,PT,1545269400,88,37.72,-25.43,62.6,12.75
Mandera,0,ET,1545272781,43,3.94,41.86,61.56,2.51
Sarakhs,0,TM,1545271200,84,36.54,61.16,32,2.17
Minot,1,US,1545270840,81,48.23,-101.3,33.08,18.34
Neiafu,75,TO,1545271200,79,-18.65,-173.98,84.2,6.93
Karasjok,48,NO,1545270600,73,69.47,25.52,23,44.96
Candido Mendes,92,BR,1545272789,97,-1.45,-45.72,81.36,14.81
Avila,1,US,1545271200,67,38.91,-76.61,42.98,8.05
Pacifica,1,US,1545271200,81,37.61,-122.49,57.92,6.08
Airai,0,TL,1545272794,50,-8.93,125.41,87.12,1.95
Coahuayana,0,MX,1545272795,72,18.62,-100.35,55.89,2.17
Ismailia,20,EG,1545272771,97,30.6,32.27,52.79,13.24
Mogadishu,0,SO,1545272798,100,2.04,45.34,80.19,24.32
Rincon,1,US,1545272100,94,32.3,-81.24,55.4,3.36
Mount Gambier,0,AU,1545272803,71,-37.83,140.78,68.4,8.21
Mocuba,64,MZ,1545272805,97,-16.84,36.99,72.41,2.95
Vilyuysk,80,RU,1545272806,59,63.75,121.63,-7.07,3.06
Hofn,92,IS,1545272808,97,64.25,-15.21,42.71,22.08
Grand Gaube,75,MU,1545271200,78,-20.01,57.66,78.8,23.04
Swan Hill,0,AU,1545272812,46,-35.34,143.56,88.38,16.26
Kodiak,90,US,1545270900,92,39.95,-94.76,44.6,6.93
Mount Isa,0,AU,1545271200,16,-20.73,139.49,107.6,12.75
Pedasi,24,PA,1545272816,96,7.53,-80.03,83.39,16.71
Paka,90,HR,1545271200,92,45.29,18.06,26.6,0.49
Iquique,0,CL,1545271200,68,-20.22,-70.14,68,12.75
Road Town,20,VG,1545271200,69,18.42,-64.62,78.8,11.41
Buzhakan,90,AM,1545271200,80,40.45,44.52,32,1.12
Shingu,75,JP,1545271200,51,33.72,135.99,59,5.82
Yining,88,CN,1545272824,95,29.04,114.56,53.19,3.18
Takoradi,56,GH,1545272826,100,4.89,-1.75,77.04,4.18
Itoman,75,JP,1545271200,60,26.12,127.67,75.56,4.7
Parkes,0,AU,1545272829,40,-33.14,148.18,96.08,17.27
Ketchikan,90,US,1545270960,89,55.34,-131.65,37.94,5.82
Coquimbo,0,CL,1545271200,87,-29.95,-71.34,59,5.41
Santa Marta de Tormes,92,ES,1545271200,93,40.95,-5.63,41,6.93
Bayan,88,MN,1545272834,73,47.25,107.54,4.32,3.96
Salalah,0,OM,1545270600,37,17.01,54.1,69.8,10.29
Kawalu,80,ID,1545272837,93,-7.38,108.21,72,1.61
Galle,1,US,1545270960,96,29.74,-97.91,60.08,5.82
Kapaa,40,US,1545270960,53,22.08,-159.32,77,19.46
Buraydah,75,SA,1545267600,82,26.33,43.97,60.8,9.17
Tono,75,JP,1545271200,56,39.35,141.52,42.8,5.82
College,90,US,1545271320,75,64.86,-147.8,-1.84,3.06
Guangyuan,92,CN,1545272848,100,32.43,105.86,43.29,2.95
Sayat,90,TM,1545271200,95,38.78,63.88,32,6.93
Souillac,75,FR,1545271200,87,45.6,-0.6,44.6,11.41
Mount Hagen,40,PG,1545267600,64,-5.86,144.23,73.4,4.7
Cabo San Lucas,5,MX,1545270240,64,22.89,-109.91,69.8,4.74
Castro,0,CL,1545271200,81,-42.48,-73.76,51.8,6.93
Hirara,20,JP,1545271200,53,24.8,125.28,77,4.7
Jutai,44,BR,1545272860,98,-1.71,-47.89,73.58,2.39
Nanortalik,32,GL,1545272861,83,60.14,-45.24,34.47,40.09
Yerofey Pavlovich,0,RU,1545272862,69,53.97,121.97,-17.15,1.83
Saint George,20,GR,1545270600,188,39.45,22.34,33.8,2.84
Katherine,48,AU,1545271200,70,-14.47,132.26,86,8.05
Sorland,92,NO,1545272867,100,67.67,12.69,39.6,26.44
Tura,12,IN,1545272870,95,25.52,90.21,61.74,3.96
Taltal,0,CL,1545272871,88,-25.41,-70.49,57.83,1.95
Gola Bazar,5,IN,1545269400,100,26.34,83.35,46.4,3.18
Dordrecht,90,NL,1545272400,93,51.8,4.68,46.4,11.41
Nabire,12,ID,1545272875,66,-3.36,135.5,84.06,2.73
Suruc,75,TR,1545270600,100,36.98,38.42,44.6,20.8
Cacoal,8,BR,1545272878,94,-11.43,-61.44,73.58,2.06
Leh,0,IN,1545272879,0,34.16,77.58,-30.51,2.62
Ust-Nera,48,RU,1545272881,0,64.57,143.24,-37.8,1.95
Katsuura,75,JP,1545271200,71,33.93,134.5,53.6,4.7
Khatanga,12,RU,1545272884,0,71.98,102.47,-38.93,3.74
Yushala,0,RU,1545271200,91,57.08,64.26,3.2,8.95
Kharan,0,PK,1545272888,73,28.58,65.42,32.67,2.73
Margate,75,AU,1545271200,87,-43.03,147.26,57.2,9.17
Olean,1,US,1545270960,83,42.08,-78.43,33.98,11.41
Duliagaon,20,IN,1545271200,88,27.37,95.32,62.6,5.82
Great Yarmouth,56,GB,1545270600,93,52.61,1.73,42.8,10.29
Vao,36,EE,1545272895,86,59.1,26.19,18.54,6.42
Vanavara,44,RU,1545272896,68,60.35,102.28,6.75,3.74
Rawson,92,AR,1545272898,67,-43.3,-65.11,61.16,15.26
Dicabisagan,100,PH,1545272899,100,17.08,122.42,75.83,7.09
Geraldton,90,CA,1545271200,86,49.72,-86.95,33.8,8.05
Saldanha,88,PT,1545272902,98,41.42,-6.55,43.74,4.63
Qasigiannguit,88,GL,1545270600,86,68.82,-51.19,26.6,2.95
Abu Samrah,80,SY,1545272905,92,35.3,37.18,45.59,2.17
Half Moon Bay,1,US,1545271200,81,37.46,-122.43,57.92,3.29
Sola,90,FI,1545270600,92,62.78,29.36,15.8,2.24
Banda Aceh,48,ID,1545272913,100,5.56,95.32,78.98,2.17
Pangnirtung,76,CA,1545272915,79,66.15,-65.72,6.26,5.19
Norman Wells,75,CA,1545271200,77,65.28,-126.83,-0.41,3.18
Mujiayingzi,80,CN,1545272919,54,42.12,118.78,25.74,4.74
Adrar,0,DZ,1545267600,43,27.87,-0.29,50,10.29
San Rafael,0,AR,1545272922,23,-34.61,-68.33,71.64,20.18
Southbridge,1,US,1545270960,51,42.08,-72.03,30.92,10.29
Puerto Escondido,40,MX,1545270000,69,15.86,-97.07,80.6,11.41
Biltine,20,TD,1545272927,37,14.53,20.93,57.42,12.8
Ambon,92,FR,1545271200,93,47.55,-2.56,48.2,6.93
Pasighat,0,IN,1545272929,63,28.06,95.33,56.43,1.83
Mehran,90,IR,1545271200,96,33.12,46.17,42.8,9.17
North Platte,1,US,1545270780,81,41.12,-100.77,28.94,9.17
Chuy,92,UY,1545272934,96,-33.69,-53.46,66.74,8.88
Meulaboh,8,ID,1545272935,100,4.14,96.13,82.08,3.4
Moose Factory,90,CA,1545271200,86,51.26,-80.61,33.8,8.05
Egvekinot,12,RU,1545272938,0,66.32,-179.17,-36.5,3.06
Pangai,75,TO,1545271200,83,-19.8,-174.35,82.4,5.08
Khuzdar,0,PK,1545272942,60,27.8,66.62,28.04,2.84
La Crosse,68,US,1545272100,95,43.8,-91.24,42.08,6.93
Arica,0,CL,1545271200,68,-18.48,-70.32,69.8,1.05
Kloulklubed,90,PW,1545270600,94,7.04,134.26,78.8,6.93
Keflavik,0,IS,1545271200,100,64,-22.56,37.4,9.17
Wilmington,1,US,1545272100,88,39.75,-75.55,37.94,7.09
Vila Velha,20,BR,1545271200,78,-3.71,-38.6,80.6,10.29
Derzhavinsk,56,KZ,1545272952,77,51.1,66.31,7.34,8.1
Lixourion,0,GR,1545272953,100,38.2,20.43,52.88,1.16
Toora-Khem,44,RU,1545272955,65,52.47,96.11,-0.45,3.18
Gurupi,56,BR,1545272956,76,-11.73,-49.07,75.15,2.95
Isla Vista,1,US,1545272100,62,34.41,-119.86,57.92,4.7
Gat,0,SN,1545271200,60,14.69,-16.54,69.8,18.34
Danjiangkou,8,CN,1545272960,93,32.54,111.51,47.03,2.51
Morant Bay,20,JM,1545271200,57,17.88,-76.41,80.6,14.99
Victoria,75,BN,1545271200,83,5.28,115.24,82.4,3.36
Dingle,92,PH,1545272965,99,11,122.67,75.6,13.58
Khani,75,GE,1545271200,57,41.96,42.96,50,25.28
Bicester,75,GB,1545270960,87,51.9,-1.15,44.6,8.05
San Patricio,44,PY,1545272969,82,-26.98,-56.83,78.93,3.18
Ponta Delgada,40,PT,1545269400,88,37.73,-25.67,62.6,12.75
Sol-Iletsk,44,RU,1545272972,84,51.16,55,5.63,3.51
Broome,80,GB,1545270960,93,52.47,1.45,44.6,10.29
Westerland,90,NL,1545270900,93,52.89,4.93,48.2,8.05
Kiama,80,AU,1545271200,58,-34.67,150.86,84.2,11.41
Khabary,20,RU,1545272980,71,53.63,79.53,1.53,12.01
Leningradskiy,20,RU,1545272982,100,69.38,178.42,-16.7,5.41
Poykovskiy,40,RU,1545271200,75,61.23,73.33,-18.41,8.95
Port Hardy,90,CA,1545271200,100,50.7,-127.42,41,2.24
Bud,80,NO,1545270600,52,62.91,6.91,44.6,9.17
Oksfjord,0,NO,1545270600,73,70.24,22.35,24.8,11.41
Rome,40,IT,1545270600,71,41.89,12.48,51.8,10.29
Ilsede,75,DE,1545272400,87,52.27,10.2,42.8,5.82
Levelland,40,US,1545270780,53,33.59,-102.38,48.02,9.17
Teya,75,MX,1545270360,88,21.05,-89.07,73.4,5.82
Yataity,48,PY,1545272999,92,-26.37,-56.07,73.31,2.51
Rio Cuarto,40,AR,1545271200,83,-33.13,-64.35,71.6,4.7
Kalmunai,92,LK,1545273002,100,7.42,81.82,73.89,4.74
Hambantota,75,LK,1545268200,100,6.12,81.12,75.2,1.12
Kokstad,88,ZA,1545272780,96,-30.55,29.42,56.43,2.06
Acapulco,75,MX,1545270240,69,16.86,-99.88,82.4,5.82
Khash,0,IR,1545273009,61,28.22,61.21,22.46,2.73
Bayir,0,TR,1545270600,80,37.27,28.22,41,4.7
Quimperle,92,FR,1545271200,81,47.87,-3.55,48.2,11.41
Nortelandia,88,BR,1545273014,90,-14.45,-56.8,76.23,2.62
George,40,NG,1545271200,94,6.63,3.35,78.8,3.96
Severo-Kurilsk,36,RU,1545273017,100,50.68,156.12,26.33,7.54
Dikson,0,RU,1545273018,91,73.51,80.55,-6.8,7.2
Bohicon,0,BJ,1545273020,95,7.18,2.07,70.88,6.42
Aklavik,90,CA,1545271200,77,68.22,-135.01,3.2,4.7
Bay Saint Louis,90,US,1545272460,100,30.31,-89.33,62.06,5.82
Dhone,24,IN,1545273024,87,15.4,77.87,66.83,4.41
Lazaro Cardenas,5,MX,1545270060,31,28.39,-105.62,50,9.89
Klaksvik,80,FO,1545270600,93,62.23,-6.59,44.6,10.29
Petauke,12,ZM,1545273028,94,-14.25,31.33,64.44,2.62
Chute-aux-Outardes,1,CA,1545271200,78,49.12,-68.38,19.4,5.82
Muisne,68,EC,1545273031,96,0.61,-80.02,71.82,2.62
Atambua,0,ID,1545273033,88,-9.11,124.89,85.46,8.32
Semme,92,FR,1545271200,100,46.2,1.5,41,13.87
Sardinata,20,CO,1545271200,74,8.08,-72.8,78.8,4.7
Miandrivazo,24,MG,1545273037,81,-19.53,45.46,74.03,2.84
Moshupa,0,BW,1545271200,13,-24.78,25.42,84.2,9.17
Usinsk,80,RU,1545273040,84,66,57.56,16.29,10.78
Tiarei,75,PF,1545271200,74,-17.53,-149.33,82.4,6.93
Chiredzi,0,ZW,1545273043,83,-21.05,31.67,77.18,7.43
Bredasdorp,64,ZA,1545267600,87,-34.53,20.04,59,3.36
Port Blair,80,IN,1545272928,100,11.67,92.75,80.33,10.45
Champerico,5,MX,1545270480,57,16.38,-93.6,75.2,4.7
Port Macquarie,0,AU,1545271200,69,-31.43,152.91,82.4,8.05
Carauari,48,BR,1545273050,95,-4.88,-66.9,73.94,2.73
Umba,64,RU,1545273051,95,66.69,34.34,16.2,5.19
Cabedelo,20,BR,1545271200,83,-6.97,-34.84,75.2,5.82
Pychas,48,RU,1545273054,69,56.5,52.44,-1.17,3.06
Skalat,64,UA,1545273057,88,49.42,25.98,14.31,11.34
Touros,20,BR,1545271200,88,-5.2,-35.46,75.2,4.7
Dauphin,90,CA,1545271200,92,51.15,-100.04,23,14.99
Sorong,44,ID,1545273061,100,-0.86,131.25,80.69,9.33
Kidal,0,ML,1545273062,70,18.44,1.41,51.75,6.64
Abha,0,SA,1545267600,62,18.22,42.5,51.8,5.82
Hondo,1,US,1545270960,63,29.35,-99.14,60.98,5.82
Mahajanga,20,MG,1545271200,78,-15.72,46.32,77,2.24
Vaitape,12,PF,1545273068,100,-16.52,-151.75,84.06,4.18
Itarema,12,BR,1545273069,93,-2.92,-39.92,76.23,9.44
Saint-Pierre,90,FR,1545271200,87,48.95,4.24,44.6,12.75
Nouadhibou,0,MR,1545271200,37,20.93,-17.03,68,14.99
Arkhara,0,RU,1545273075,48,49.42,130.09,2.25,3.62
Santa Vitoria do Palmar,92,BR,1545272975,96,-33.52,-53.37,66.74,8.88
Erenhot,76,CN,1545273078,70,43.65,111.97,18.9,5.97
Walvis Bay,0,NA,1545271200,93,-22.95,14.51,57.2,8.05
Kelme,90,LT,1545270600,92,55.63,22.93,23,16.11
Gombong,92,ID,1545273083,90,-7.19,109.31,75.87,2.84
Bonthe,0,SL,1545273084,72,7.53,-12.5,82.49,4.97
Ushtobe,76,KZ,1545273085,83,45.25,77.98,16.74,4.85
Pangody,36,RU,1545273087,62,65.85,74.49,-7.38,8.99
Ishigaki,20,JP,1545271200,61,24.34,124.16,77,3.36
Akdepe,75,TM,1545271200,85,42.05,59.39,21.2,11.41
Conceicao do Araguaia,8,BR,1545273014,89,-8.26,-49.26,76.32,2.84
Esil,0,KZ,1545273092,71,51.96,66.41,1.35,6.08
Westport,92,IE,1545273094,96,53.8,-9.52,46.98,16.93
Bundibugyo,0,UG,1545273095,88,0.71,30.06,55.71,1.05
Berlevag,0,NO,1545273097,100,70.86,29.09,7.56,6.31
Roald,32,NO,1545270600,52,62.58,6.12,44.6,11.41
Iquitos,75,PE,1545271200,94,-3.75,-73.25,75.2,3.36
Codrington,0,AU,1545271200,49,-28.95,153.24,95,8.05
Karratha,0,AU,1545273104,46,-20.74,116.85,88.11,8.99
Henties Bay,0,NA,1545273105,100,-22.12,14.28,58.68,1.28
Medina,0,SA,1545271200,35,24.47,39.61,69.8,6.93
San Cristobal,75,EC,1545271200,100,-0.39,-78.55,57.2,2.24
Auki,0,NG,1545273110,44,12.18,6.51,57.74,9.33
Ilhabela,8,BR,1545273024,99,-23.78,-45.36,78.57,10.45
Nuuk,92,GL,1545273114,100,64.17,-51.74,26.91,2.62
Camacupa,64,AO,1545273115,84,-12.02,17.48,62.19,1.72
Nikolayevsk-na-amure,80,RU,1545273118,80,53.14,140.72,19.49,20.29
Cedar City,8,US,1545270780,66,37.68,-113.06,37.04,5.82
Torbay,90,CA,1545271200,73,47.66,-52.73,26.6,31.09
Nehe,0,CN,1545273122,63,48.48,124.88,13.64,3.96
Ponta do Sol,32,BR,1545273123,96,-20.63,-46,70.16,3.29
Ust-Tsilma,56,RU,1545273125,82,65.44,52.15,10.31,5.08
Amatitan,5,MX,1545270060,30,20.83,-103.72,59,4.7
Marsh Harbour,8,BS,1545273109,100,26.54,-77.06,73.98,10.22
Wladyslawowo,90,PL,1545271200,92,54.79,18.4,24.8,10.29
Santa Ines,44,EC,1545273132,98,-0.82,-78.63,44.96,0.72
Kadoma,0,ZW,1545273133,92,-18.34,29.91,60.26,2.73
Yeppoon,40,AU,1545271200,66,-23.13,150.74,86,12.75
Erzin,75,TR,1545272400,87,36.95,36.2,51.8,8.05
The Valley,20,AI,1545271200,69,18.22,-63.06,78.8,12.75
Alice Springs,0,AU,1545271200,20,-23.7,133.88,95,13.87
Rovaniemi,90,FI,1545272400,92,66.5,25.72,21.2,5.82
Vasterhaninge,92,SE,1545270600,93,59.12,18.1,35.6,10.29
Abashiri,20,JP,1545271200,42,44.01,144.25,28.4,4.7
Wajir,0,KE,1545273144,49,1.75,40.07,62.64,4.41
Montreal,90,CA,1545271200,73,45.5,-73.61,26.6,4.7
Bahia Honda,80,CU,1545273147,75,22.9,-83.16,78.03,11.45
Liverpool,75,GB,1545270600,87,53.41,-2.98,42.8,11.41
Santa Cruz de la Palma,0,ES,1545271200,59,28.68,-17.76,62.6,9.17
Ayr,90,GB,1545272400,93,55.46,-4.63,41,5.82
Ahome,5,MX,1545270480,68,25.92,-109.18,64.4,13.87
Lagoa,0,PT,1545271200,93,37.14,-8.45,50,3.36
Malanje,32,AO,1545273158,96,-9.54,16.35,64.49,5.08
Muros,75,ES,1545271200,93,42.77,-9.06,50,6.93
Sawtell,0,AU,1545271200,74,-30.38,153.1,87.8,20.8
Hagere Selam,0,ET,1545273162,87,6.48,38.52,45.81,3.18
Diapaga,0,BF,1545273164,45,12.07,1.79,59.67,8.43
Mazyr,68,BY,1545273165,88,52.05,29.27,12.06,7.65
Oranjemund,0,ZA,1545273167,95,-28.55,16.43,62.1,18.05
Mehamn,8,NO,1545273168,100,71.03,27.85,8.06,4.29
Kushima,75,JP,1545271200,76,31.5,131.29,55.4,5.82
Sistranda,0,NO,1545270600,60,63.73,8.83,39.2,24.16
Inuvik,90,CA,1545271200,77,68.36,-133.71,3.2,4.7
Nioro,20,GM,1545273174,68,13.79,-15.05,66.96,2.84
Bilma,0,NE,1545273175,70,18.69,12.92,46.08,3.4
Shimoda,75,JP,1545271200,44,34.7,138.93,60.8,9.17
Xingyi,0,CN,1545273178,77,24.19,102.82,61.83,3.51
Salmas,90,IR,1545271200,93,38.2,44.77,35.6,6.93
Mezen,56,RU,1545273181,76,65.85,44.24,10.26,4.97
Sioux Lookout,90,CA,1545271200,97,50.1,-91.92,32,3.36
Shasta Lake,1,US,1545270900,71,40.68,-122.36,55.04,5.82
Tsirguliina,90,EE,1545270600,92,57.86,26.19,21.2,5.82
